"","Towns.by.Size","County","TownSize","PersonsPerSqKm","TotalPopulation","AllHouseholds","Household_Income","Avg_Rent","PC_ICTOwnsPC","PC_ICTInternet","PC_HeatingNoCentral","PC_SeweragePublic","PC_SewerageIndSeptic","RentIncomeRatio","PeoplePerHouse"
"1","Drogheda","LH","> 20K",2776.6,40956,14558,38876,816.13,0.662865778266245,0.788295095480148,0.00872372578650914,0.926226129962907,0.00872372578650914,0.251917892787324,2.81329853001786
"2","Dundalk","LH","> 20K",1651,39004,14443,36591,726.58,0.623069999307623,0.759122066052759,0.00830852316000831,0.91947656304092,0.0204251194350204,0.238281544642125,2.7005469777747
"3","Swords","D","> 20K",3791.7,39248,12889,60409,1203.5,0.778415703312902,0.902397393125921,0.00403444797889673,0.932888509581814,0.00837923811001629,0.23907033720141,3.04507719761037
"4","Bray","WW","> 20K",4035.7,32600,11338,48909,1131.94,0.742017992591286,0.84653378020815,0.01605221379432,0.946992414887987,0.00820250485094373,0.277725571980617,2.8752866466749
"5","Ennis","CE","> 20K",1286.6,25276,9729,40508,585.05,0.674170007194984,0.785897831226231,0.00997019220886011,0.87162092712509,0.0682495631616816,0.173313913301076,2.59800596155823
"6","Kilkenny","KK","> 20K",2115.9,26512,9672,41347,693.92,0.670802315963606,0.795181968569065,0.0108560794044665,0.947994210090984,0.0122001654259719,0.201394055191429,2.74110835401158
"7","Tralee","KY","> 20K",1260.6,23691,9244,32995,597.1,0.630787537862397,0.746321938554738,0.0219601903937689,0.896906101254868,0.0431631328429251,0.21716017578421,2.56285157940286
"8","Carlow","CW","> 20K",2063.4,24272,9032,35890,665.86,0.645704162976085,0.780447298494243,0.00686448184233835,0.904782993799823,0.0179362267493357,0.22263360267484,2.6873339238264
"9","Naas","KE","> 20K",2567.7,21393,7109,61241,1064.64,0.791531861021241,0.892530595020397,0.00661133774089183,0.959909973273316,0.010831340554227,0.208613183978054,3.00928400618934
"10","Athlone","WH","> 20K",1338.8,21349,7963,37199,670.39,0.646238854703001,0.775461509481351,0.0110511113901796,0.894260956925782,0.0355393695843275,0.216260652168069,2.68102473941982
"11","Portlaoise","LS","> 20K",1829.3,22050,7452,40242,666.16,0.66304347826087,0.812667740203972,0.00617283950617284,0.924181427804616,0.00791733762748256,0.198646190547189,2.95893719806763
"12","Mullingar","WH","> 20K",1575,20928,7698,40156,603.52,0.664718108599636,0.797609768771109,0.00961288646401663,0.932839698623019,0.0187061574434918,0.180352624763423,2.71862821512081
"13","Wexford","WX","> 20K",998,20188,8026,35160,610.5,0.618739097931722,0.739845502118116,0.0206827809618739,0.916895090954398,0.0351358086219786,0.208361774744027,2.51532519312235
"14","Balbriggan","D","> 20K",4514.1,21722,7271,43560,971.11,0.692201897950763,0.836473662494842,0.00893962316050062,0.915692476963279,0.00852702516847751,0.267523415977961,2.9874845275753
"15","Letterkenny","DL","5K-20K",1240,19274,7466,35818,514.64,0.654835253147602,0.786632735065631,0.00562550227698902,0.860032145727297,0.0663005625502277,0.17241833714892,2.58156978301634
"16","Celbridge","KE","> 20K",3463.5,20288,6543,64877,1108.39,0.819196087421672,0.916857710530338,0.00504355800091701,0.961179886902033,0.0117683020021397,0.205013795335789,3.1007183249274
"17","Sligo","SO","5K-20K",1858.5,19199,7486,34802,642.07,0.618755009350788,0.750333956719209,0.0133582687683676,0.915308576008549,0.0253807106598985,0.221390724670996,2.5646540208389
"18","Clonmel","T","5K-20K",1636.4,17140,6727,38509,626.75,0.634309499033745,0.755314404638026,0.0121896833655418,0.933700014865467,0.0310688271146128,0.195304993637851,2.54794113274862
"19","Greystones","WW","5K-20K",2036.6,18140,6214,63232,1299.12,0.830061152236884,0.910524621821693,0.0065980045059543,0.939813324750563,0.0294496298680399,0.246543522267206,2.91921467653685
